code,borough,house_price
E09000020,Kensington and Chelsea,1198295
E09000033,City of Westminster,912812
E09000027,Richmond upon Thames,795023
E09000007,Camden,794413
E09000001,City of London,737067
E09000013,Hammersmith and Fulham,729613
E09000019,Islington,700045
E09000032,Wandsworth,681998
E09000014,Haringey,637041
E09000012,Hackney,622207
E09000024,Merton,613854
E09000028,Southwark,588648
E09000003,Barnet,588123
E09000009,Ealing,579970
E09000021,Kingston upon Thames,578273
E09000005,Brent,552414
E09000022,Lambeth,546264
E09000015,Harrow,532088
E09000006,Bromley,528759
E09000031,Waltham Forest,522883
E09000026,Redbridge,517463
E09000018,Hounslow,513233
E09000023,Lewisham,498564
E09000017,Hillingdon,477980
E09000011,Greenwich,477909
E09000010,Enfield,472725
E09000030,Tower Hamlets,464488
E09000029,Sutton,450772
E09000016,Havering,447868
E09000004,Bexley,412226
E09000025,Newham,401544
E09000008,Croydon,395341
E09000002,Barking and Dagenham,359807