code,borough,income_annual
E09000001,City of London,60700
E09000002,Barking and Dagenham,28600
E09000003,Barnet,34400
E09000004,Bexley,31800
E09000005,Brent,29400
E09000006,Bromley,38100
E09000007,Camden,40600
E09000008,Croydon,31800
E09000009,Ealing,31500
E09000010,Enfield,31300
E09000011,Greenwich,33800
E09000012,Hackney,34300
E09000013,Hammersmith and Fulham,38300
E09000014,Haringey,31800
E09000015,Harrow,33200
E09000016,Havering,32000
E09000017,Hillingdon,31900
E09000018,Hounslow,30600
E09000019,Islington,40300
E09000020,Kensington and Chelsea,47700
E09000021,Kingston-upon-Thames,37300
E09000022,Lambeth,35800
E09000023,Lewisham,34500
E09000024,Merton,36400
E09000025,Newham,28900
E09000026,Redbridge,31200
E09000027,Richmond-upon-Thames,45300
E09000028,Southwark,36200
E09000029,Sutton,33400
E09000030,Tower Hamlets,37300
E09000031,Waltham Forest,32500
E09000032,Wandsworth,42200
E09000033,Westminster,42600