borough,rent_montly
Barking and Dagenham,1350
Barnet,1450
Bexley,1250
Brent,1650
Bromley,1300
Camden,2000
City of London,2300
Croydon,1250
Ealing,1550
Enfield,1350
Greenwich,1525
Hackney,2000
Hammersmith and Fulham,1850
Haringey,1625
Harrow,1400
Havering,1250
Hillingdon,1300
Hounslow,1495
Islington,2000
Kensington and Chelsea,2396
Kingston upon Thames,1400
Lambeth,1800
Lewisham,1450
Merton,1500
Newham,1650
Redbridge,1375
Richmond upon Thames,1571
Southwark,1725
Sutton,1250
Tower Hamlets,1850
Waltham Forest,1400
Wandsworth,1750
Westminster,2492